,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keyword,is_duplicate,question_type,is_numeric_answer,question_length,answer_length
0,0,What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.","['what', 'be', 'three', 'european', 'wizarding', 'school', 'participate', 'triwizard', 'tournament']","['hogwarts', 'beauxbatons', 'durmstrang']","['what', 'be', 'three', 'european', 'wizarding', 'school', 'participate', 'triwizard', 'tournament', 'hogwarts', 'beauxbatons', 'durmstrang']",['what'],False,FR,False,13,4
1,1,When was Hogwarts founded?,10th century,"['when', 'be', 'hogwarts', 'found']","['th', 'century']","['when', 'be', 'hogwarts', 'found', 'th', 'century']",['when'],False,FR,False,4,2
2,2,What is a Wronski Feint?,Pretending to dive for the Snitch,"['what', 'be', 'wronski', 'feint']","['pretend', 'dive', 'snitch']","['what', 'be', 'wronski', 'feint', 'pretend', 'dive', 'snitch']",['what'],False,FR,False,5,6
3,3,You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,"['wouldnt', 'know', 'anything', 'name', 'method', 'make', 'broom', 'go', 'faster']","['use', 'polish']","['wouldnt', 'know', 'anything', 'name', 'method', 'make', 'broom', 'go', 'faster', 'use', 'polish']",['name'],False,FR,False,16,2
4,4,Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,"['harry', 'first', 'take', 'knight', 'bus', 'prisoner', 'azkaban', 'how', 'much', 'do', 'ticket', 'cost', 'include', 'hot', 'chocolate']",['sickle'],"['harry', 'first', 'take', 'knight', 'bus', 'prisoner', 'azkaban', 'how', 'much', 'do', 'ticket', 'cost', 'include', 'hot', 'chocolate', 'sickle']","['how', 'do']",False,FR,False,22,2
5,5,What charm creates water?,Aguamenti,"['what', 'charm', 'create', 'water']",['aguamenti'],"['what', 'charm', 'create', 'water', 'aguamenti']",['what'],False,FR,False,4,1
6,7,What magical creature runs guards wand wood trees?,Bowtruckles,"['what', 'magical', 'creature', 'run', 'guard', 'wand', 'wood', 'tree']",['bowtruckles'],"['what', 'magical', 'creature', 'run', 'guard', 'wand', 'wood', 'tree', 'bowtruckles']",['what'],True,FR,False,8,1
7,8,Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.","['name', 'seven', 'weasley', 'child']","['bill', 'charlie', 'percy', 'fred', 'george', 'ron', 'ginny']","['name', 'seven', 'weasley', 'child', 'bill', 'charlie', 'percy', 'fred', 'george', 'ron', 'ginny']",['name'],True,FR,False,5,8
8,9,Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,"['why', 'do', 'student', 'initially', 'think', 'harry', 'be', 'heir', 'slytherin']","['can', 'speak', 'parseltongue']","['why', 'do', 'student', 'initially', 'think', 'harry', 'be', 'heir', 'slytherin', 'can', 'speak', 'parseltongue']","['why', 'do']",False,EX,False,11,4
9,10,Vipera Evanesca is used to vaporize what kind of creature?,Snake,"['vipera', 'evanesca', 'be', 'use', 'vaporize', 'what', 'kind', 'creature']",['snake'],"['vipera', 'evanesca', 'be', 'use', 'vaporize', 'what', 'kind', 'creature', 'snake']",['what'],False,FR,False,10,1
10,13,Who or what determines the House for each first year student?,The Sorting Hat,"['who', 'what', 'determine', 'house', 'first', 'year', 'student']","['sort', 'hat']","['who', 'what', 'determine', 'house', 'first', 'year', 'student', 'sort', 'hat']","['what', 'who']",False,FR,False,11,3
11,14,What is the root language of any spells?,Latin,"['what', 'be', 'root', 'language', 'spell']",['latin'],"['what', 'be', 'root', 'language', 'spell', 'latin']",['what'],False,FR,False,8,1
12,15,What did Regulus Black become after he died?,Inferi,"['what', 'do', 'regulus', 'black', 'become', 'die']",['inferi'],"['what', 'do', 'regulus', 'black', 'become', 'die', 'inferi']","['what', 'do']",False,FR,False,8,1
13,16,Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,"['cedric', 'diggory', 'let', 'harry', 'use', 'prefect', 'bathroom', 'goblet', 'fire', 'what', 'man', 'statue', 'be', 'next', 'special', 'lavatory', 'entrance']","['boris', 'bewilder']","['cedric', 'diggory', 'let', 'harry', 'use', 'prefect', 'bathroom', 'goblet', 'fire', 'what', 'man', 'statue', 'be', 'next', 'special', 'lavatory', 'entrance', 'boris', 'bewilder']",['what'],False,FR,False,25,3
14,17,"Who is known as the ""Chosen One""?",Harry Potter,"['who', 'be', 'know', 'chosen', 'one']","['harry', 'potter']","['who', 'be', 'know', 'chosen', 'one', 'harry', 'potter']",['who'],False,FR,False,7,2
15,18,Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,"['who', 'destroy', 'horcrux', 'helga', 'hufflepuffs', 'cup']","['hermione', 'granger']","['who', 'destroy', 'horcrux', 'helga', 'hufflepuffs', 'cup', 'hermione', 'granger']",['who'],False,FR,False,9,2
16,19,What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,"['what', 'be', 'filch', 'hogwarts', 'caretaker', 'greatest', 'secret']","['he', 'squib']","['what', 'be', 'filch', 'hogwarts', 'caretaker', 'greatest', 'secret', 'he', 'squib']",['what'],False,FR,False,9,4
17,20,What is the name of America's magical government?,MACUSA,"['what', 'be', 'name', 'americas', 'magical', 'government']",['macusa'],"['what', 'be', 'name', 'americas', 'magical', 'government', 'macusa']","['what', 'name']",False,FR,False,9,1
18,22,What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,"['what', 'potion', 'allow', 'witch', 'wizard', 'disguise', 'someone', 'else', 'limited', 'amount', 'time']","['polyjuice', 'potion']","['what', 'potion', 'allow', 'witch', 'wizard', 'disguise', 'someone', 'else', 'limited', 'amount', 'time', 'polyjuice']",['what'],False,FR,False,19,2
19,23,What kind of core did Harry's first want possess?,Phoenix Feather,"['what', 'kind', 'core', 'do', 'harrys', 'first', 'want', 'possess']","['phoenix', 'feather']","['what', 'kind', 'core', 'do', 'harrys', 'first', 'want', 'possess', 'phoenix', 'feather']","['what', 'do']",False,FR,False,10,2
