full_run_id,candidate_num,source_file,question_index_in_file,question_text,answer_text,difficulty,raw_question_data,source_chapters,source_quote
ex_temperature__02_baseline_v1.1,2,ex_temperature__02_baseline_v1.1_candidate_2.json,0,"How was Sirius Black able to escape from Azkaban, a prison guarded by Dementors?","He maintained his sanity by focusing on his innocence, a thought not happy enough for the Dementors to consume. This allowed him to retain his Animagus ability to turn into a dog. As a dog, his emotions were less complex and harder for the Dementors to sense, allowing him to slip past them when his cell door was opened.",Hard,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Magical Theory/Lore"", ""difficulty"": ""Hard"", ""question"": ""How was Sirius Black able to escape from Azkaban, a prison guarded by Dementors?"", ""answer"": ""He maintained his sanity by focusing on his innocence, a thought not happy enough for the Dementors to consume. This allowed him to retain his Animagus ability to turn into a dog. As a dog, his emotions were less complex and harder for the Dementors to sense, allowing him to slip past them when his cell door was opened."", ""answer_variations"": [""By transforming into his dog Animagus form. The Dementors couldn't properly sense his less complex, non-human emotions, which allowed him to slip past them and escape the prison."", ""His knowledge of his own innocence kept him sane, preserving his magical abilities. He turned into a dog, whose simpler feelings confused the Dementors, enabling him to get past them."", ""He used his Animagus ability to become a dog. In this form, his emotions were less human, making him difficult for the Dementors to detect and allowing him to escape."", ""The Dementors were unable to drain his will because he clung to the knowledge of his innocence. This let him transform into a dog, and the Dementors' inability to properly sense animal emotions gave him the chance to escape.""], ""source_reference"": ""Prisoner of Azkaban, Chapter 19"", ""source_quote"": ""I think the only reason I never lost my mind is that I knew I was innocent. That wasn't a happy thought, so the dementors couldn't suck it out of me... but it kept me sane and knowing who I am... helped me keep my powers... so when it all became ... too much... I could transform in my cell... become a dog. Dementors can't see, you know.... They feel their way toward people by feeding off their emotions.... They could tell that my feelings were less -- less human, less complex when I was a dog... So, one night when they opened my door to bring food, I slipped past them as a dog...""}","Prisoner of Azkaban, Chapter 19","I think the only reason I never lost my mind is that I knew I was innocent. That wasn't a happy thought, so the dementors couldn't suck it out of me... but it kept me sane and knowing who I am... helped me keep my powers... so when it all became ... too much... I could transform in my cell... become a dog. Dementors can't see, you know.... They feel their way toward people by feeding off their emotions.... They could tell that my feelings were less -- less human, less complex when I was a dog... So, one night when they opened my door to bring food, I slipped past them as a dog..."
ex_temperature__02_baseline_v1.1,2,ex_temperature__02_baseline_v1.1_candidate_2.json,1,Why did Harry intervene to prevent Sirius and Lupin from killing Peter Pettigrew?,"Harry believed that his father, James, would not have wanted his best friends to become killers, especially not for someone as pathetic as Pettigrew. He decided it was better to hand Pettigrew over to the Dementors instead.",Medium,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Character Arc/Motive"", ""difficulty"": ""Medium"", ""question"": ""Why did Harry intervene to prevent Sirius and Lupin from killing Peter Pettigrew?"", ""answer"": ""Harry believed that his father, James, would not have wanted his best friends to become killers, especially not for someone as pathetic as Pettigrew. He decided it was better to hand Pettigrew over to the Dementors instead."", ""answer_variations"": [""He stopped them because he didn't think his father would have wanted his friends to commit murder on his behalf."", ""Harry's decision was based on honoring his father's memory; he felt James Potter wouldn't want his friends to become murderers for Pettigrew."", ""He acted to preserve the morality of Sirius and Lupin, believing his own father would not have wanted them to kill for revenge."", ""It wasn't for Pettigrew's sake, but because he concluded that his father would not have wanted his friends to stain their hands with murder.""], ""source_reference"": ""Prisoner of Azkaban, Chapter 19"", ""source_quote"": ""I'm not doing this for you. I'm doing it because -- I don't reckon my dad would've wanted them to become killers -- just for you.""}","Prisoner of Azkaban, Chapter 19",I'm not doing this for you. I'm doing it because -- I don't reckon my dad would've wanted them to become killers -- just for you.
ex_temperature__02_baseline_v1.1,2,ex_temperature__02_baseline_v1.1_candidate_2.json,2,"Why was Peter Pettigrew, and not Sirius Black, made the Secret-Keeper for the Potters?","The switch was Sirius Black's idea. He believed it would be a clever bluff, as Voldemort would naturally target him, the Potters' best friend, and would never suspect they would entrust their secret to someone they perceived as a 'weak, talentless thing' like Pettigrew.",Medium,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Plot Event"", ""difficulty"": ""Medium"", ""question"": ""Why was Peter Pettigrew, and not Sirius Black, made the Secret-Keeper for the Potters?"", ""answer"": ""The switch was Sirius Black's idea. He believed it would be a clever bluff, as Voldemort would naturally target him, the Potters' best friend, and would never suspect they would entrust their secret to someone they perceived as a 'weak, talentless thing' like Pettigrew."", ""answer_variations"": [""Sirius suggested the switch as a double-bluff, reasoning that Voldemort would hunt him and never consider that the Potters would use a weaker wizard like Pettigrew."", ""It was a strategic deception proposed by Sirius; he thought Voldemort would focus on him as the obvious choice and overlook the seemingly insignificant Pettigrew."", ""At Sirius's own suggestion, they used Pettigrew as a decoy, believing Voldemort would be fixated on Sirius and ignore a less likely candidate."", ""The change was made as a bluff conceived by Sirius, who assumed Voldemort would target him and never imagine they'd rely on Pettigrew.""], ""source_reference"": ""Prisoner of Azkaban, Chapter 19"", ""source_quote"": ""\""Lily and James only made you Secret-Keeper because I suggested it,\"" Black hissed, so venomously that Pettigrew took a step backward. \""I thought it was the perfect plan... a bluff... Voldemort would be sure to come after me, would never dream they'd use a weak, talentless thing like you....\""""}","Prisoner of Azkaban, Chapter 19","""Lily and James only made you Secret-Keeper because I suggested it,"" Black hissed, so venomously that Pettigrew took a step backward. ""I thought it was the perfect plan... a bluff... Voldemort would be sure to come after me, would never dream they'd use a weak, talentless thing like you...."""
ex_temperature__02_baseline_v1.1,2,ex_temperature__02_baseline_v1.1_candidate_2.json,3,Why did Voldemort choose to kill Bertha Jorkins rather than simply erase her memory?,"Voldemort explained that powerful wizards can break Memory Charms, as he had done to her. Additionally, she was left useless after his interrogation, and her return to the Ministry after meeting the supposedly-dead Peter Pettigrew would have raised dangerous questions.",Hard,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Character Arc/Motive"", ""difficulty"": ""Hard"", ""question"": ""Why did Voldemort choose to kill Bertha Jorkins rather than simply erase her memory?"", ""answer"": ""Voldemort explained that powerful wizards can break Memory Charms, as he had done to her. Additionally, she was left useless after his interrogation, and her return to the Ministry after meeting the supposedly-dead Peter Pettigrew would have raised dangerous questions."", ""answer_variations"": [""Because Memory Charms are not foolproof and can be broken by powerful wizards, and her return to work after meeting the supposedly dead Pettigrew would have aroused suspicion."", ""Voldemort stated that her memory could have been restored and his interrogation had left her useless. Her reappearance would also have exposed Peter Pettigrew's continued existence."", ""He killed her because he knew from experience that Memory Charms could be undone, and her survival would have compromised Peter Pettigrew's cover as she was no longer useful."", ""He deemed it necessary because a powerful wizard could reverse a Memory Charm, and her return to the Ministry would have created problems since she had encountered Peter Pettigrew.""], ""source_reference"": ""Goblet of Fire, Chapter 1"", ""source_quote"": ""\""We could have modified her memory? But Memory Charms can be broken by a powerful wizard, as I proved when I questioned her. It would be an insult to her memory not to use the information I extracted from her, Wormtail.\"" ... \""She was fit for nothing after my questioning, quite useless. In any case, awkward questions would have been asked if she had gone back to the Ministry with the news that she had met you on her holidays.\""""}","Goblet of Fire, Chapter 1","""We could have modified her memory? But Memory Charms can be broken by a powerful wizard, as I proved when I questioned her. It would be an insult to her memory not to use the information I extracted from her, Wormtail."" ... ""She was fit for nothing after my questioning, quite useless. In any case, awkward questions would have been asked if she had gone back to the Ministry with the news that she had met you on her holidays."""
ex_temperature__02_baseline_v1.1,2,ex_temperature__02_baseline_v1.1_candidate_2.json,4,"How did Sirius Black, while imprisoned in Azkaban, discover that Peter Pettigrew was alive and at Hogwarts?","During an inspection, Minister for Magic Cornelius Fudge gave Sirius his copy of the Daily Prophet. Sirius saw a photograph of the Weasley family on the front page, and in the photo, he recognized Ron's pet rat, Scabbers, as Peter Pettigrew in his Animagus form.",Medium,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Plot Event"", ""difficulty"": ""Medium"", ""question"": ""How did Sirius Black, while imprisoned in Azkaban, discover that Peter Pettigrew was alive and at Hogwarts?"", ""answer"": ""During an inspection, Minister for Magic Cornelius Fudge gave Sirius his copy of the Daily Prophet. Sirius saw a photograph of the Weasley family on the front page, and in the photo, he recognized Ron's pet rat, Scabbers, as Peter Pettigrew in his Animagus form."", ""answer_variations"": [""He saw a picture of the Weasley family in a newspaper given to him by Cornelius Fudge and immediately recognized Peter Pettigrew in his rat form on Ron's shoulder."", ""Cornelius Fudge left his newspaper with Sirius during a visit to Azkaban, which contained a photo of the Weasleys featuring Peter as the rat Scabbers."", ""A Daily Prophet newspaper, provided by Fudge, had a photo of Ron Weasley holding Scabbers, allowing Sirius to identify Pettigrew and learn he was at Hogwarts."", ""He spotted Pettigrew disguised as a rat in a newspaper photograph of the Weasley family that he obtained from Minister Fudge during an official visit to the prison.""], ""source_reference"": ""Prisoner of Azkaban, Chapter 19"", ""source_quote"": ""\""Fudge,\"" said Black. \""When he came to inspect Azkaban last year, he gave me his paper. And there was Peter, on the front page on this boy's shoulder... I knew him at once... how many times had I seen him transform? And the caption said the boy would be going back to Hogwarts... to where Harry was...\""""}","Prisoner of Azkaban, Chapter 19","""Fudge,"" said Black. ""When he came to inspect Azkaban last year, he gave me his paper. And there was Peter, on the front page on this boy's shoulder... I knew him at once... how many times had I seen him transform? And the caption said the boy would be going back to Hogwarts... to where Harry was..."""
ex_temperature__07_v1.3,1,ex_temperature__07_v1.3_candidate_1.json,0,Why was Snape so unwilling to listen to Lupin and Black's explanation in the Shrieking Shack?,"Snape's actions were driven by a long-held ""schoolboy grudge"" against them. He was blinded by his desire for vengeance for the way they treated him at school, making him refuse any possibility of their innocence.",Medium,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Character Arc/Motive"", ""difficulty"": ""Medium"", ""question"": ""Why was Snape so unwilling to listen to Lupin and Black's explanation in the Shrieking Shack?"", ""answer"": ""Snape's actions were driven by a long-held \""schoolboy grudge\"" against them. He was blinded by his desire for vengeance for the way they treated him at school, making him refuse any possibility of their innocence."", ""answer_variations"": [""He was motivated by a deep-seated grudge from his school days, which fueled his desire for revenge against Black and Lupin."", ""His refusal to listen stemmed from an old school rivalry; he was more interested in seeing his old tormentors punished than in hearing the truth."", ""A bitter \""schoolboy grudge\"" clouded his judgment, making him prioritize vengeance over listening to their side of the story."", ""He was acting on a desire for retribution for past bullying, which is why Harry accuses him of being pathetic and unwilling to listen.""], ""source_reference"": ""Prisoner of Azkaban, The Servant of Lord Voldemort"", ""source_quote"": ""\""You fool,\"" said Lupin softly. \""Is a schoolboy grudge worth putting an innocent man back inside Azkaban?\""""}","Prisoner of Azkaban, The Servant of Lord Voldemort","""You fool,"" said Lupin softly. ""Is a schoolboy grudge worth putting an innocent man back inside Azkaban?"""
ex_temperature__07_v1.3,1,ex_temperature__07_v1.3_candidate_1.json,1,"How did Sirius Black manage to escape from Azkaban, a feat no one had accomplished before?","He transformed into his Animagus dog form. In this state, his emotions were less complex and human, which confused the Dementors. Being very thin from his imprisonment, he was able to slip past them and through the bars of his cell as a dog.",Medium,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Magical Theory/Lore"", ""difficulty"": ""Medium"", ""question"": ""How did Sirius Black manage to escape from Azkaban, a feat no one had accomplished before?"", ""answer"": ""He transformed into his Animagus dog form. In this state, his emotions were less complex and human, which confused the Dementors. Being very thin from his imprisonment, he was able to slip past them and through the bars of his cell as a dog."", ""answer_variations"": [""By turning into a dog, his emotions became less human, making it harder for the Dementors to sense him, allowing him to slip past them when his cell door was opened."", ""He used his Animagus ability to become a dog; this change in emotional complexity baffled the Dementors, and his emaciated state let him squeeze through the bars."", ""His escape was possible because as a dog, his feelings were less complex, which confounded the Dementors' senses, enabling him to get by them and out of his cell."", ""He transformed into his dog form, which masked his human emotions from the Dementors, and because he was so thin, he could physically slip away.""], ""source_reference"": ""Prisoner of Azkaban, The Servant of Lord Voldemort"", ""source_quote"": ""I could transform in my cell... become a dog. Dementors can't see, you know.... They feel their way toward people by feeding off their emotions.... They could tell that my feelings were less -- less human, less complex when I was a dog... So, one night when they opened my door to bring food, I slipped past them as a dog... I was thin, very thin... thin enough to slip through the bars....""}","Prisoner of Azkaban, The Servant of Lord Voldemort","I could transform in my cell... become a dog. Dementors can't see, you know.... They feel their way toward people by feeding off their emotions.... They could tell that my feelings were less -- less human, less complex when I was a dog... So, one night when they opened my door to bring food, I slipped past them as a dog... I was thin, very thin... thin enough to slip through the bars...."
ex_temperature__07_v1.3,1,ex_temperature__07_v1.3_candidate_1.json,2,How did Sirius Black discover that Peter Pettigrew was alive and hiding at Hogwarts while he was imprisoned in Azkaban?,"Cornelius Fudge gave Sirius his copy of the Daily Prophet during a visit to Azkaban. Sirius saw a front-page photograph of the Weasley family, which included Ron holding his pet rat, Scabbers, whom Sirius immediately recognized as Pettigrew in his Animagus form.",Easy,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Plot Event"", ""difficulty"": ""Easy"", ""question"": ""How did Sirius Black discover that Peter Pettigrew was alive and hiding at Hogwarts while he was imprisoned in Azkaban?"", ""answer"": ""Cornelius Fudge gave Sirius his copy of the Daily Prophet during a visit to Azkaban. Sirius saw a front-page photograph of the Weasley family, which included Ron holding his pet rat, Scabbers, whom Sirius immediately recognized as Pettigrew in his Animagus form."", ""answer_variations"": [""He saw a picture of the Weasley family in a newspaper provided by Fudge, and in it, he recognized Ron's rat, Scabbers, as Peter Pettigrew."", ""During a visit, the Minister for Magic, Fudge, left his newspaper, and on the front page was a photo showing Pettigrew as a rat on Ron Weasley's shoulder."", ""Sirius spotted Pettigrew in his rat form in a Daily Prophet photo of the Weasleys that Cornelius Fudge had brought with him to Azkaban."", ""He found out by seeing Scabbers on Ron's shoulder in a newspaper photograph of the Weasley family, which he got from Fudge during an inspection.""], ""source_reference"": ""Prisoner of Azkaban, The Servant of Lord Voldemort"", ""source_quote"": ""\""Fudge,\"" said Black. \""When he came to inspect Azkaban last year, he gave me his paper. And there was Peter, on the front page on this boy's shoulder... I knew him at once... how many times had I seen him transform?\""""}","Prisoner of Azkaban, The Servant of Lord Voldemort","""Fudge,"" said Black. ""When he came to inspect Azkaban last year, he gave me his paper. And there was Peter, on the front page on this boy's shoulder... I knew him at once... how many times had I seen him transform?"""
ex_temperature__07_v1.3,1,ex_temperature__07_v1.3_candidate_1.json,3,"According to Sirius Black, why did Peter Pettigrew hide with a wizarding family as a rat for twelve years instead of trying to harm Harry?","Pettigrew was a coward who only acted when he could see a personal benefit. He was waiting to see if Voldemort, his ""old protector,"" would regain strength and power, keeping an ear out for news. He wouldn't risk attacking Harry under Dumbledore's nose for a master who was considered half-dead.",Hard,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Character Arc/Motive"", ""difficulty"": ""Hard"", ""question"": ""According to Sirius Black, why did Peter Pettigrew hide with a wizarding family as a rat for twelve years instead of trying to harm Harry?"", ""answer"": ""Pettigrew was a coward who only acted when he could see a personal benefit. He was waiting to see if Voldemort, his \""old protector,\"" would regain strength and power, keeping an ear out for news. He wouldn't risk attacking Harry under Dumbledore's nose for a master who was considered half-dead."", ""answer_variations"": [""He was biding his time to see if Voldemort would return to power, as he was too cowardly to risk attacking Harry for a weakened master."", ""Sirius explained that Pettigrew was hiding and listening for news, waiting to rejoin Voldemort only when it was safe and he was sure Voldemort was the \""biggest bully in the playground\"" again."", ""His inaction was due to cowardice; he needed to be certain his old master had regained his strength before he would risk revealing himself or harming Harry."", ""He stayed with a wizard family to monitor the situation, unwilling to commit murder for a powerless Voldemort and waiting for a clear sign of his master's return to strength.""], ""source_reference"": ""Prisoner of Azkaban, The Servant of Lord Voldemort"", ""source_quote"": ""\""Because you never did anything for anyone unless you could see what was in it for you. Voldemort's been in hiding for fifteen years, they say he's half dead. You weren't about to commit murder right under Albus Dumbledore's nose, for a wreck of a wizard who'd lost all of his power, were you? You'd want to be quite sure he was the biggest bully in the playground before you went back to him, wouldn't you?\""""}","Prisoner of Azkaban, The Servant of Lord Voldemort","""Because you never did anything for anyone unless you could see what was in it for you. Voldemort's been in hiding for fifteen years, they say he's half dead. You weren't about to commit murder right under Albus Dumbledore's nose, for a wreck of a wizard who'd lost all of his power, were you? You'd want to be quite sure he was the biggest bully in the playground before you went back to him, wouldn't you?"""
ex_temperature__07_v1.3,1,ex_temperature__07_v1.3_candidate_1.json,4,"In the Riddle House, why did Lord Voldemort decide to wait until after the Quidditch World Cup to proceed with his plan?","He chose to wait because the World Cup attracted wizards from across the globe, putting the Ministry of Magic on high alert. The increased security and scrutiny for unusual activity would make it foolish and risky to act during that time.",Medium,"{""question_type"": ""Explanatory (Why/How)"", ""category"": ""Plot Event"", ""difficulty"": ""Medium"", ""question"": ""In the Riddle House, why did Lord Voldemort decide to wait until after the Quidditch World Cup to proceed with his plan?"", ""answer"": ""He chose to wait because the World Cup attracted wizards from across the globe, putting the Ministry of Magic on high alert. The increased security and scrutiny for unusual activity would make it foolish and risky to act during that time."", ""answer_variations"": [""Voldemort delayed his plan because the Ministry would be on high duty during the World Cup, checking identities and watching for any strange occurrences."", ""With wizards pouring into the country for the World Cup, the Ministry of Magic's security was heightened, making it a dangerous time for Voldemort to execute his plan."", ""He waited to avoid the intense scrutiny of the Ministry of Magic, which was obsessed with security due to the influx of international wizards for the World Cup."", ""The plan was postponed because the Ministry would be on high alert for unusual activity while wizards from all over the world were in the country for the Quidditch World Cup.""], ""source_reference"": ""Goblet of Fire, The Riddle House"", ""source_quote"": ""\""Because, fool, at this very moment wizards are pouring into the country from all over the world, and every meddler from the Ministry of Magic will be on duty, on the watch for signs of ususual activity, checking and double-checking identities. They will be obsessed with security, lest the Muggles notice anything. So we wait.\""""}","Goblet of Fire, The Riddle House","""Because, fool, at this very moment wizards are pouring into the country from all over the world, and every meddler from the Ministry of Magic will be on duty, on the watch for signs of ususual activity, checking and double-checking identities. They will be obsessed with security, lest the Muggles notice anything. So we wait."""
