,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword,question_length,answer_length,question_type,answer_type
0,0,What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.","['what' 'be' 'three' 'european' 'wizarding' 'school' 'participate'
 'triwizard' 'tournament']",['hogwarts' 'beauxbatons' 'durmstrang'],"['what' 'be' 'three' 'european' 'wizarding' 'school' 'participate'
 'triwizard' 'tournament' 'hogwarts' 'beauxbatons' 'durmstrang']",['what' 'be'],what,13,4,FR,text
1,1,When was Hogwarts founded?,10th century,['when' 'be' 'hogwarts' 'found'],['10th' 'century'],['when' 'be' 'hogwarts' 'found' '10th' 'century'],['when' 'be'],when,4,2,FR,year
2,2,What is a Wronski Feint?,Pretending to dive for the Snitch,['what' 'be' 'wronski' 'feint'],['pretend' 'dive' 'snitch'],['what' 'be' 'wronski' 'feint' 'pretend' 'dive' 'snitch'],['what' 'be'],what,5,6,FR,text
3,3,You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,['know' 'anything' 'name' 'method' 'make' 'broom' 'go' 'faster'],['use' 'polish'],"['know' 'anything' 'name' 'method' 'make' 'broom' 'go' 'faster' 'use'
 'polish']",['name'],name,16,2,FR,text
4,4,Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,"['harry' 'first' 'take' 'knight' 'bus' 'prisoner' 'azkaban' 'how' 'much'
 'do' 'ticket' 'cost' 'include' 'hot' 'chocolate']",['14' 'sickle'],"['harry' 'first' 'take' 'knight' 'bus' 'prisoner' 'azkaban' 'how' 'much'
 'do' 'ticket' 'cost' 'include' 'hot' 'chocolate' '14' 'sickle']",['how' 'do'],how,22,2,FR,text
5,5,What charm creates water?,Aguamenti,['what' 'charm' 'create' 'water'],['aguamenti'],['what' 'charm' 'create' 'water' 'aguamenti'],['what'],what,4,1,FR,text
6,9,Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,['why' 'do' 'student' 'initially' 'think' 'harry' 'be' 'heir' 'slytherin'],['can' 'speak' 'parseltongue'],"['why' 'do' 'student' 'initially' 'think' 'harry' 'be' 'heir' 'slytherin'
 'can' 'speak' 'parseltongue']",['why' 'do' 'be'],why,11,4,EX,text
7,10,Vipera Evanesca is used to vaporize what kind of creature?,Snake,['vipera' 'evanesca' 'be' 'use' 'vaporize' 'what' 'kind' 'creature'],['snake'],"['vipera' 'evanesca' 'be' 'use' 'vaporize' 'what' 'kind' 'creature'
 'snake']",['be' 'what'],what,10,1,FR,text
8,13,Who or what determines the House for each first year student?,The Sorting Hat,['who' 'what' 'determine' 'house' 'first' 'year' 'student'],['sorting' 'hat'],['who' 'what' 'determine' 'house' 'first' 'year' 'student' 'sorting' 'hat'],['who' 'what'],who,11,3,FR,text
9,14,What is the root language of any spells?,Latin,['what' 'be' 'root' 'language' 'spell'],['latin'],['what' 'be' 'root' 'language' 'spell' 'latin'],['what' 'be'],what,8,1,FR,text
10,16,Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,"['cedric' 'diggory' 'let' 'harry' 'use' 'prefect' 'bathroom' 'goblet'
 'fire' 'what' 'man' 'statue' 'be' 'next' 'special' 'lavatory' 'entrance']",['boris' 'bewildered'],"['cedric' 'diggory' 'let' 'harry' 'use' 'prefect' 'bathroom' 'goblet'
 'fire' 'what' 'man' 'statue' 'be' 'next' 'special' 'lavatory' 'entrance'
 'boris' 'bewildered']",['what' 'be'],what,25,3,FR,text
11,17,"Who is known as the ""Chosen One""?",Harry Potter,['who' 'be' 'know' 'chosen' 'one'],['harry' 'potter'],['who' 'be' 'know' 'chosen' 'one' 'harry' 'potter'],['who' 'be'],who,7,2,FR,text
12,18,Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,['who' 'destroy' 'horcrux' 'helga' 'hufflepuff' 'cup'],['hermione' 'granger'],['who' 'destroy' 'horcrux' 'helga' 'hufflepuff' 'cup' 'hermione' 'granger'],['who'],who,9,2,FR,text
13,19,What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,['what' 'be' 'filch' 'hogwarts' 'caretaker' 'great' 'secret'],['squib'],['what' 'be' 'filch' 'hogwarts' 'caretaker' 'great' 'secret' 'squib'],['what' 'be'],what,9,4,FR,text
14,20,What is the name of America's magical government?,MACUSA,['what' 'be' 'name' 'america' 'magical' 'government'],['macusa'],['what' 'be' 'name' 'america' 'magical' 'government' 'macusa'],['what' 'be' 'name'],what,9,1,FR,text
15,22,What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,"['what' 'potion' 'allow' 'witch' 'wizard' 'disguise' 'someone' 'else'
 'limited' 'amount' 'time']",['polyjuice' 'potion'],"['what' 'potion' 'allow' 'witch' 'wizard' 'disguise' 'someone' 'else'
 'limited' 'amount' 'time' 'polyjuice']",['what'],what,19,2,FR,text
16,23,What kind of core did Harry's first want possess?,Phoenix Feather,['what' 'kind' 'core' 'do' 'harry' 'first' 'want' 'possess'],['phoenix' 'feather'],"['what' 'kind' 'core' 'do' 'harry' 'first' 'want' 'possess' 'phoenix'
 'feather']",['what' 'do'],what,10,2,FR,text
17,24,What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,['what' 'do' 'boggart' 'reveal' 'seamus' 'finnigan' 'bad' 'fear' 'be'],['banshee'],"['what' 'do' 'boggart' 'reveal' 'seamus' 'finnigan' 'bad' 'fear' 'be'
 'banshee']",['what' 'do' 'be'],what,12,1,FR,text
18,25,What is Ron's middle name?,Bilius,['what' 'be' 'ron' 'middle' 'name'],['bilius'],['what' 'be' 'ron' 'middle' 'name' 'bilius'],['what' 'be' 'name'],what,6,1,FR,text
19,26,Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,"['which' 'dragon' 'do' 'cedric' 'diggory' 'face' 'first' 'task'
 'triwizard' 'tournament']",['swedish' 'short' 'snout'],"['which' 'dragon' 'do' 'cedric' 'diggory' 'face' 'first' 'task'
 'triwizard' 'tournament' 'swedish' 'short' 'snout']",['which' 'do'],which,14,3,FR,text
20,27,Where are flying lessons held?,Training Grounds,['where' 'be' 'fly' 'lesson' 'hold'],['train' 'ground'],['where' 'be' 'fly' 'lesson' 'hold' 'train' 'ground'],['where' 'be'],where,5,2,FR,text
21,28,"""Lemon Drop"" is the password to whose office?",Dumbledore,['lemon' 'drop' 'be' 'password' 'who' 'office'],['dumbledore'],['lemon' 'drop' 'be' 'password' 'who' 'office' 'dumbledore'],['be' 'who'],who,8,1,FR,text
22,29,A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,['statue' 'what' 'creature' 'mark' 'entrance' 'headmaster' 'office'],['gargoyle'],"['statue' 'what' 'creature' 'mark' 'entrance' 'headmaster' 'office'
 'gargoyle']",['what'],what,13,1,FR,text
23,31,Who founded Hogsmeade Village?,Hengist of Woodcroft,['who' 'found' 'hogsmeade' 'village'],['hengist' 'woodcroft'],['who' 'found' 'hogsmeade' 'village' 'hengist' 'woodcroft'],['who'],who,4,3,FR,text
