question,answer,question keywords,answer keywords,combined keywords
What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.","['school', 'triwizard', 'participate', 'wizarding', 'what', 'three', 'tournament', 'european']","['durmstrang', 'beauxbatons', 'hogwarts']","['school', 'triwizard', 'participate', 'wizarding', 'what', 'three', 'tournament', 'european', 'durmstrang', 'beauxbatons', 'hogwarts']"
When was Hogwarts founded?,10th century,"['found', 'when', 'hogwarts']","['th', 'century']","['found', 'when', 'hogwarts', 'th', 'century']"
What is a Wronski Feint?,Pretending to dive for the Snitch,"['wronski', 'feint', 'what']","['snitch', 'dive', 'pretend']","['wronski', 'feint', 'what', 'snitch', 'dive', 'pretend']"
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,"['wouldnt', 'anything', 'make', 'faster', 'method', 'go', 'broom', 'know', 'name']","['polish', 'use']","['wouldnt', 'anything', 'make', 'faster', 'method', 'go', 'broom', 'know', 'name', 'polish', 'use']"
Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,"['knight', 'much', 'harry', 'include', 'hot', 'ticket', 'first', 'chocolate', 'prisoner', 'how', 'cost', 'bus', 'azkaban', 'take']",['sickle'],"['knight', 'much', 'harry', 'include', 'hot', 'ticket', 'first', 'chocolate', 'prisoner', 'how', 'cost', 'bus', 'azkaban', 'take', 'sickle']"
What charm creates water?,Aguamenti,"['create', 'water', 'charm', 'what']",['aguamenti'],"['create', 'water', 'charm', 'what', 'aguamenti']"
Which of these is an ingredient in Befuddlement Draughts?,Sneezewort,"['which', 'draught', 'ingredient', 'befuddlement']",['sneezewort'],"['which', 'draught', 'ingredient', 'befuddlement', 'sneezewort']"
What magical creature runs guards wand wood trees?,Bowtruckles,"['tree', 'wand', 'wood', 'run', 'magical', 'guard', 'what', 'creature']",['bowtruckles'],"['tree', 'wand', 'wood', 'run', 'magical', 'guard', 'what', 'creature', 'bowtruckles']"
Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.","['weasley', 'child', 'name', 'seven']","['george', 'charlie', 'ginny', 'ron', 'fred', 'percy', 'bill']","['weasley', 'child', 'name', 'seven', 'george', 'charlie', 'ginny', 'ron', 'fred', 'percy', 'bill']"
Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,"['harry', 'why', 'heir', 'student', 'slytherin', 'initially', 'think']","['parseltongue', 'speak']","['harry', 'why', 'heir', 'student', 'slytherin', 'initially', 'think', 'parseltongue', 'speak']"
