question,answer
What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang."
When was Hogwarts founded?,10th century
What is a Wronski Feint?,Pretending to dive for the Snitch
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish
Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.
What charm creates water?,Aguamenti
Which of these is an ingredient in Befuddlement Draughts?,Sneezewort
What magical creature runs guards wand wood trees?,Bowtruckles
Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny."
Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue
Vipera Evanesca is used to vaporize what kind of creature?,Snake
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.
How old was Luna when she lost her mom?,Nine
Who or what determines the House for each first year student?,The Sorting Hat
What is the root language of any spells?,Latin
What did Regulus Black become after he died?,Inferi
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.
"Who is known as the ""Chosen One""?",Harry Potter
Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger
What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.
What is the name of America's magical government?,MACUSA
What year was the first match?,1050 AD
What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.
What kind of core did Harry's first want possess?,Phoenix Feather
What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee
What is Ron's middle name?,Bilius
Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout
Where are flying lessons held?,Training Grounds
"""Lemon Drop"" is the password to whose office?",Dumbledore
A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle
Who has been to every Quidditch World Cup since they were born?,Merula
Who founded Hogsmeade Village?,Hengist of Woodcroft
Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle
Madam Hooch has distinct yellow what?,Eyes
What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears
What does 'Meteolojinx Recanto' do?,Dispel weather charms
At what age can you earn your Apparition license?,17
What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks
What is the name of the house-elf that belongs to the Malfoy family?,Dobby
What does 'Colloportus' do?,Lock and seal doors
How is Quodpot different from Quidditch?,The ball explodes
What is Professor Snape’s Patronus?,A doe (the same as Lily Potter’s—sob)
Where is Hogwarts located?,Scotland
Catching what object ends a Quidditch match?,Golden Snitch
What is the Chudley Cannons' team colour?,Orange
Who previously held Snape's post?,Horace Slughorn
What sensation accompanies the Sea Urchin Jinx?,Discomfort
How often does a Streeler's shell change colour?,Every Hour
Who becomes the Charms professor after Professor Flitwick?,Filius Flitwick remains the Charms professor throughout the series.
Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen
Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.
Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.
What is the core of Draco Malfoy's wand?,Unicorn hair
"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart
Which creature's hair is often woven into Invisibility Cloaks?,Demiguise
What painting guards the entrance to the Gryffindor common room?,The Fat Lady.
How did I become a metamorphagus?,You were born one.
What happened during the Quidditch World Cup of 1473?,Players committed all the fouls
What's Helga Hufflepuff's signature item?,Cup
From which word did the Mirror of Erised get its name?,Desire
What is the correct pronunciation of the Levitation Charm?,Win-GAR-dium Levi-OH-sa.
Where is the nearest dragon reserve?,Romania
Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage
What spell duplicates an item?,Geminio
Which of these is not a type of broom?,Phoenix
Where can dark cloud constellations be most easily seen?,The Southern Hemisphere.
What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit
What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail
Professor Snape is the head of which Hogwarts house?,Slytherin
Professor Sprout was the head of what department at Hogwarts?,Herbology
What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon)
What magical sport is popular in North America?,Quodpot
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold
"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off
What is the incantation for the Memory Charm?,Obliviate
In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution
Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley."
"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch
What is the name of Ron's brother who works at Gringotts?,Bill Weasley
Which of these charms is the dancing-feet jinx?,Tarantallegra
Phyllomancy is the practice of seeing the future with what?,Leaves
Who created the Sorcerer's Stone?,Nicolas Flamel
What magical bird did Uric have fifty of in his house?,Augureys
Which Quidditch team is last in the league?,Chudley Cannons
What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope
What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place
Which of the following is caused by space weather?,Auroras.
What does the Ear-Shrivelling Curse cause?,Ears to wither
How many Horcruxes did Voldemort create intentionally?,Six
My voice is best compared to what?,A Vacuum Cleaner
When did Harry learn Accio?,Year 4
What type of magical creature is Dobby?,House-elf
Which is not the form of Transfiguration?,Enchantment
"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum
Which of these is not a type of broom?,Occamy
What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone
Which part of the asphodel plant is used in Draught of Living Death?,Root
What’s the best solution for a broken nose?,Episkey
What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap
How many Rogue Planets exist in the Milky Way?,Billions.
A Nimbus is a type of what?,Broom
What Quidditch players fend off the Bludgers?,The Beaters
Did Muggles use ancient runes as well?,They did.
Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights
Which of the following was a reason why the 14th century witch burnings were pointless?,Flame-Freezing Charm
Where are Kappas most commonly found?,Japan
What is the name of the wizard village near Hogwarts?,Hogsmeade
The Deflating Drought is an antidote to which potion?,Swelling Solution
"What is the primary school attended by Harry Potter's son, Albus Severus Potter?",Hogwarts School of Witchcraft and Wizardry
The Medieval Assembly of European Wizards gives out which award?,Bravery Against Fantastic Beasts Award
A Firebolt is a type of what?,Broom
Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid
What is the Name of America’s Magical Government?,MACUSA
"At the beginning of the story, where does Hedwig find Harry?",She is waiting in his room at the Leaky Cauldron. Clever owl!
How many classes did Hermione Granger take this year?,12!
What is Voldemort's mother's name?,Merope
Why would you need to switch brooms midair?,Broom failure
"What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""?",Remus Lupin
What does the term 'Muggle' refer to in Harry Potter?,A non-magical person
What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation
Where does Valerian grow best?,In the sun
What's the tallest tower at Hogwarts?,The Astronomy Tower.
What is the name of the Wizard village near Hogwarts?,Hogsmeade
Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist
Which house does Harry Potter belong to?,Gryffindor
What is not an alternate name for Wolfsbane?,Belladonna
What is the opposite of conjuration?,Vanishment
"In Book 2, who is the first victim to be petrified by the basilisk?","Filch's cat, Mrs. Norris."
Who was the Minister of Magic during the First World War?,Archie Evermonde
Who is the author of 'Fantastic Beasts and Where to Find Them'?,Newt Scamander
Which charm freezes the target in place?,Immobulus
Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts?,Gilderoy Lockhart
Who discovered the law of elemental transfiguration?,Gamp
Who played Professor Dumbledore in the first movie?,Richard Harris
"On his first ride aboard the Hogwarts Express, whose card did Harry get with his chocolate frog?",Dumbledore
What is the antidote to Swelling Solution?,Deflating Draught
Which team is in last place?,Chudley Cannons
What are 'wildcats' referring to?,The Gargoyles on strike.
What type of ball attempts to hit players?,Bludger
What was the Hippogriff Buckbeak called when he returned to Hogwarts?,Witherwing
Who was the Rook in the Chessboard Chamber?,Hermione Granger
Which creatures feed on the human brain and helped Newt Scamander escape?,Swooping Evil
What house is Justin Finch-Fletchley in?,Hufflepuff
What book is instrumental for this lesson?,Charm Your Own Cheese.
Name a crushed ingredient that is used in cure for boils.,Snake fang
Where is the Slytherin Common Room?,The Dungeons
What spell did Snape invent that Harry later uses on Draco Malfoy?,Sectumsempra
What does Hermione smell in the amortenia (or love) potion?,"Grass, parchment, spearmint toothpaste and Ron Weasley’s hair"
The crop circles in Muggle legends might have been left by what magical creature?,Mooncalf
Who anonymously sends Harry his father's Invisibility Cloak on Christmas?,Albus Dumbledore
Where does Harry Potter first see Draco Malfoy?,In Madame Malkin’s Robes for All Occasions
When did the wildcat gargoyle strike the place?,1911
Who is the potions professor?,Professor Severus Snape
What magical creature is Ron deathly afraid of?,Spiders
What is Rowena Ravenclaw's signature item?,Diadem
Who teaches Care of Magical Creatures?,Silvanus Kettleburn
What's the first step to performing a Bell Tailslide?,Flying straight up.
What does Amortentia smell like?,It depends
Which of the following traits does the Occamy exhibit?,Choranaptyxis
What trait do I* value most in a student?,Intellect
Which famous Auror crashed Bill's party?,Alastor Moody.
What charm can repel a Lethifold?,Patronus Charm
What did Fred and George use to protest against Dolores Umbridge's authority?,Weasley's Wildfire Whiz-bangs
Which of these plants bloom instantly?,Puffapod
What is true about tortoises?,Some live over 200 years.
What does Hermione say Jupiter's largest moon is?,Ganymede
Which of the following is not a Horcrux?,Elder Wand
"In Book 5, Snape is assigned to teach Harry what type of magic?",Occlumency.
How is the Grey Lady related to Rowena Ravenclaw?,She's Rowena's daughter.
What can you counteract by consuming Moly?,Enchantments.
How do you greet a Hippogriff?,With a bow
Which puzzle guarding the Sorcerer’s Stone does Hermione Granger solve?,Professor Snape’s logic puzzle with potion bottles
What is the title of this book and movie everywhere except in the United States?,Harry Potter and the Philosopher’s Stone
Harry and Ginny have three children. What are their names?,"James, Albus, and Lily."
Who are the members of the 'Golden Trio'?,"Harry Potter, Ron Weasley, Hermione Granger"
What item cannot be conjured?,Food
What spell works on the Whomping WIllow to stop it from attacking?,The Freezing Charm
What was Uric the Oddball best known for wearing on his head?,A jellyfish
What spell provides protection against Dementors?,Expecto Patronum
"Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail?",Wormtail
Which incantation conjures flowers?,Orchideous
