,original_question_id,question,answer,is_duplicate,question_type,is_numeric_answer,STATUS
0,0,What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.",FALSE,FR,FALSE,keep
1,1,When was Hogwarts founded?,10th century,FALSE,FR,FALSE,keep
2,2,What is a Wronski Feint?,Pretending to dive for the Snitch,FALSE,FR,FALSE,keep
3,3,You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,FALSE,FR,FALSE,keep
4,4,Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,FALSE,FR,FALSE,keep
5,5,What charm creates water?,Aguamenti,FALSE,FR,FALSE,keep
6,7,What magical creature guards wand wood trees?,Bowtruckles,TRUE,FR,FALSE,edit
7,8,Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.",TRUE,FR,FALSE,keep
8,9,Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,FALSE,EX,FALSE,keep
9,10,Vipera Evanesca is used to vaporize what kind of creature?,Snake,FALSE,FR,FALSE,keep
10,13,Who or what determines the House for each first year student?,The Sorting Hat,FALSE,FR,FALSE,keep
11,14,What is the root language of any spells?,Latin,FALSE,FR,FALSE,keep
12,15,What type of cursed creature dragged Regulus Black to his death in the horcrux cave?,Inferi,FALSE,FR,FALSE,edit
13,16,Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,FALSE,FR,FALSE,keep
14,17,"Who is known as the ""Chosen One""?",Harry Potter,FALSE,FR,FALSE,keep
15,18,Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,FALSE,FR,FALSE,keep
16,19,What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,FALSE,FR,FALSE,keep
17,20,What is the name of America's magical government?,MACUSA,FALSE,FR,FALSE,keep
18,22,What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,FALSE,FR,FALSE,keep
19,23,What kind of core did Harry's first want possess?,Phoenix Feather,FALSE,FR,FALSE,keep
20,24,What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,FALSE,FR,FALSE,keep
21,25,What is Ron's middle name?,Bilius,FALSE,FR,FALSE,keep
22,26,Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,FALSE,FR,FALSE,keep
23,27,Where are flying lessons held?,Training Grounds,FALSE,FR,FALSE,keep
24,28,"""Lemon Drop"" is the password to whose office?",Dumbledore,FALSE,FR,FALSE,keep
25,29,A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,FALSE,FR,FALSE,keep
26,30,Who has been to every Quidditch World Cup since they were born?,Merula,FALSE,FR,FALSE,delete
27,31,Who founded Hogsmeade Village?,Hengist of Woodcroft,FALSE,FR,FALSE,keep
28,32,Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle,FALSE,FR,FALSE,keep
29,33,Madam Hooch has distinct yellow what?,Eyes,FALSE,FR,FALSE,keep
30,34,What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears,FALSE,FR,FALSE,keep
31,35,What does 'Meteolojinx Recanto' do?,Dispel weather charms,FALSE,FR,FALSE,keep
32,36,At what age can you earn your Apparition license?,17,FALSE,FR,TRUE,edit
33,37,What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,FALSE,FR,FALSE,keep
34,38,What is the name of the house-elf that belongs to the Malfoy family?,Dobby,FALSE,FR,FALSE,keep
35,39,What does 'Colloportus' do?,Lock and seal doors,TRUE,FR,FALSE,keep
36,40,How is Quodpot different from Quidditch?,The ball explodes,FALSE,EX,FALSE,keep
37,41,What is Professor Snape’s Patronus?,A doe,FALSE,FR,FALSE,edit
38,42,Where is Hogwarts located?,Scotland,FALSE,FR,FALSE,keep
39,43,Catching what object ends a Quidditch match?,Golden Snitch,FALSE,FR,FALSE,keep
40,44,What is the Chudley Cannons' team colour?,Orange,FALSE,FR,FALSE,keep
41,45,Who previously held Snape's post?,Horace Slughorn,TRUE,FR,FALSE,keep
42,46,What sensation accompanies the Sea Urchin Jinx?,Discomfort,FALSE,FR,FALSE,delete
43,47,How often does a Streeler's shell change colour?,Every Hour,FALSE,FR,FALSE,keep
44,48,Who is the Charms professor at Hogwarts throughout the entire Harry Potter series?,Filius Flitwick,FALSE,FR,FALSE,edit
45,49,Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,FALSE,FR,FALSE,keep
46,50,Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.,FALSE,FR,FALSE,keep
