question,answer,question_type
"Which of the following is NOT a form of Transfiguration: Switching, Vanishing, Enchantment, Conjuration.",Enchantment,MCQ
How do you tell if a door is Imperturbable?,Test if it repels objects and sounds,EX
"Which of the following plants is known for its tendency to slap people: Fanged Geranium, Bubotuber, Bouncing Bulbs, Snargaluff?",Bouncing Bulbs,MCQ
"Which of the following is NOT a type of broom? Nimbus, Cleansweep Seven, Occamy, Firebolt.",Occamy,MCQ
"According to the Ministry of Magic's classification system, what type of entity is a Boggart?",Non-being,FR
Where is the best place to buy flesh-eating slug repellent?,Knockturn Alley,FR
"In Harry Potter and the Half-Blood Prince, which amusingly titled book did Ron Weasley worry his mother might have sent him for Slughorn's N.E.W.T. Potions class by mistake? Madcap Magic for Wacky Warlocks, Charm Your Own Cheese, Where There's a Wand, There's a Way, Basic Hexes for the Busy and Vexed.",Charm Your Own Cheese,MCQ
How many times did Wendelin the Weird allow herself to be caught by witch-hunters?,47,FR
"Which of these words best describes Slytherin House: Daring, Patient, Resourceful, or Witty?",Resourceful,MCQ
"Which of these spells is NOT primarily classified as a standard utility Charm? Accio, Lumos, Geminio, Alohomora.",Geminio,MCQ
"Which of the following spells is not used in Transfiguration Class: Vera Verto, Evanesco, Confundo, or Avis?",Confundo,MCQ
"Which of these potions does NOT contain Valerian Sprigs as a listed ingredient? Draught of Living Death, Elixir to Induce Euphoria, Sleeping Draught, Polyjuice Potion.",Polyjuice Potion,MCQ
"Which of these spells is most similar to Flipendo, the Knockback Jinx? Depulso, Accio, Incendio, Stupefy.",Depulso,MCQ
