original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keyword,is_duplicate,question_type,is_numeric_answer,question_length,answer_length
0,What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.","['what', 'be', 'three', 'european', 'wizarding', 'school', 'participate', 'triwizard', 'tournament']","['hogwarts', 'beauxbatons', 'durmstrang']","['what', 'be', 'three', 'european', 'wizarding', 'school', 'participate', 'triwizard', 'tournament', 'hogwarts', 'beauxbatons', 'durmstrang']",['what'],False,FR,False,13,4
1,When was Hogwarts founded?,10th century,"['when', 'be', 'hogwarts', 'found']","['th', 'century']","['when', 'be', 'hogwarts', 'found', 'th', 'century']",['when'],False,FR,False,4,2
2,What is a Wronski Feint?,Pretending to dive for the Snitch,"['what', 'be', 'wronski', 'feint']","['pretend', 'dive', 'snitch']","['what', 'be', 'wronski', 'feint', 'pretend', 'dive', 'snitch']",['what'],False,FR,False,5,6
3,You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,"['wouldnt', 'know', 'anything', 'name', 'method', 'make', 'broom', 'go', 'faster']","['use', 'polish']","['wouldnt', 'know', 'anything', 'name', 'method', 'make', 'broom', 'go', 'faster', 'use', 'polish']",['name'],False,FR,False,16,2
4,Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,"['harry', 'first', 'take', 'knight', 'bus', 'prisoner', 'azkaban', 'how', 'much', 'do', 'ticket', 'cost', 'include', 'hot', 'chocolate']",['sickle'],"['harry', 'first', 'take', 'knight', 'bus', 'prisoner', 'azkaban', 'how', 'much', 'do', 'ticket', 'cost', 'include', 'hot', 'chocolate', 'sickle']","['how', 'do']",False,FR,False,22,2
5,What charm creates water?,Aguamenti,"['what', 'charm', 'create', 'water']",['aguamenti'],"['what', 'charm', 'create', 'water', 'aguamenti']",['what'],False,FR,False,4,1
8,Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.","['name', 'seven', 'weasley', 'child']","['bill', 'charlie', 'percy', 'fred', 'george', 'ron', 'ginny']","['name', 'seven', 'weasley', 'child', 'bill', 'charlie', 'percy', 'fred', 'george', 'ron', 'ginny']",['name'],True,FR,False,5,8
9,Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,"['why', 'do', 'student', 'initially', 'think', 'harry', 'be', 'heir', 'slytherin']","['can', 'speak', 'parseltongue']","['why', 'do', 'student', 'initially', 'think', 'harry', 'be', 'heir', 'slytherin', 'can', 'speak', 'parseltongue']","['why', 'do']",False,EX,False,11,4
10,Vipera Evanesca is used to vaporize what kind of creature?,Snake,"['vipera', 'evanesca', 'be', 'use', 'vaporize', 'what', 'kind', 'creature']",['snake'],"['vipera', 'evanesca', 'be', 'use', 'vaporize', 'what', 'kind', 'creature', 'snake']",['what'],False,FR,False,10,1
13,Who or what determines the House for each first year student?,The Sorting Hat,"['who', 'what', 'determine', 'house', 'first', 'year', 'student']","['sort', 'hat']","['who', 'what', 'determine', 'house', 'first', 'year', 'student', 'sort', 'hat']","['what', 'who']",False,FR,False,11,3
