,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword
0,0,What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.","['what' 'be' 'three' 'european' 'wizarding' 'school' 'participate'
 'triwizard' 'tournament']",['hogwarts' 'beauxbatons' 'durmstrang'],"['what' 'be' 'three' 'european' 'wizarding' 'school' 'participate'
 'triwizard' 'tournament' 'hogwarts' 'beauxbatons' 'durmstrang']",['what' 'be'],what
1,1,When was Hogwarts founded?,10th century,['when' 'be' 'hogwarts' 'found'],['10th' 'century'],['when' 'be' 'hogwarts' 'found' '10th' 'century'],['when' 'be'],when
2,2,What is a Wronski Feint?,Pretending to dive for the Snitch,['what' 'be' 'wronski' 'feint'],['pretend' 'dive' 'snitch'],['what' 'be' 'wronski' 'feint' 'pretend' 'dive' 'snitch'],['what' 'be'],what
3,3,You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,['know' 'anything' 'name' 'method' 'make' 'broom' 'go' 'faster'],['use' 'polish'],"['know' 'anything' 'name' 'method' 'make' 'broom' 'go' 'faster' 'use'
 'polish']",['name'],name
4,4,Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,"['harry' 'first' 'take' 'knight' 'bus' 'prisoner' 'azkaban' 'how' 'much'
 'do' 'ticket' 'cost' 'include' 'hot' 'chocolate']",['14' 'sickle'],"['harry' 'first' 'take' 'knight' 'bus' 'prisoner' 'azkaban' 'how' 'much'
 'do' 'ticket' 'cost' 'include' 'hot' 'chocolate' '14' 'sickle']",['how' 'do'],how
5,5,What charm creates water?,Aguamenti,['what' 'charm' 'create' 'water'],['aguamenti'],['what' 'charm' 'create' 'water' 'aguamenti'],['what'],what
6,6,Which of these is an ingredient in Befuddlement Draughts?,Sneezewort,['which' 'be' 'ingredient' 'befuddlement' 'draught'],['sneezewort'],['which' 'be' 'ingredient' 'befuddlement' 'draught' 'sneezewort'],['which' 'be'],which
7,7,What magical creature runs guards wand wood trees?,Bowtruckles,['what' 'magical' 'creature' 'run' 'guard' 'wand' 'wood' 'tree'],['bowtruckles'],"['what' 'magical' 'creature' 'run' 'guard' 'wand' 'wood' 'tree'
 'bowtruckles']",['what'],what
8,8,Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.",['name' 'seven' 'weasley' 'child'],['bill' 'charlie' 'percy' 'fred' 'george' 'ron' 'ginny'],"['name' 'seven' 'weasley' 'child' 'bill' 'charlie' 'percy' 'fred' 'george'
 'ron' 'ginny']",['name'],name
9,9,Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,['why' 'do' 'student' 'initially' 'think' 'harry' 'be' 'heir' 'slytherin'],['can' 'speak' 'parseltongue'],"['why' 'do' 'student' 'initially' 'think' 'harry' 'be' 'heir' 'slytherin'
 'can' 'speak' 'parseltongue']",['why' 'do' 'be'],why
