question,answer,question_type,is_numeric_answer,force_add_as_duplicate
"Which of these is an ingredient in Befuddlement Draughts: Powdered Bicorn Horn, Bezoar, Sneezewort, or Dittany?",Sneezewort,MCQ,FALSE,FALSE
"Which of these charms is the dancing-feet jinx? Tarantallegra, Rictusempra, Locomotor, or Serpensortia?
",Tarantallegra,MCQ,FALSE,FALSE
"Which of the following was a key reason why 14th-century witch burnings were often pointless against actual witches and wizards: The Protego Charm, Apparition, The Flame-Freezing Charm, or Fire-Protection Potion?",Flame-Freezing Charm,MCQ,FALSE,FALSE
"Which of the following traits does the Occamy exhibit: Animagus Transformation, Blast-Ended Propulsion, Choranaptyxis, or Emotional Empathy?",Choranaptyxis,MCQ,FALSE,FALSE
"Which of these plants bloom instantly: Mandrake, Devil’s Snare, Puffapod, or Bubotuber?",Puffapod,MCQ,FALSE,FALSE
"Which of the following is NOT a Horcrux: The Diary of Tom Riddle, The Ring of Marvolo Gaunt, The Gryffindor Goblet, or The Locket of Slytherin?",The Gryffindor Goblet,MCQ,FALSE,FALSE
"Which of these is needed for successful broom casting?Which of these is needed for successful broom casting: speed, balance, courage, or strength?",Balance,MCQ,FALSE,FALSE
"Which of the following is NOT a type of Transfiguration: human transfiguration, summoning, vanishing, or animagus transformation?",Summoning,MCQ,FALSE,FALSE
"Which of these is an ancient predecessor to Quidditch: Creaothceann, Muggle Soccer, Wizard Chess, or Gobstones?",Creaothceann.,MCQ,FALSE,FALSE
"Which of the following is another dive commonly used by Seekers: Porskoff Ploy, Bludger Backbeat, Spiral Dive, or Kestrel Plunge?",Spiral Dive,MCQ,FALSE,FALSE
"Screechsnaps are capable of which of the following: moving, changing colors, making noise, or flying?",Move & Make Noise,MCQ,FALSE,FALSE
"Which of these titles or identities has NOT been held by Harry Potter: Seeker for Gryffindor, SPEW Treasurer, Prefect, or Triwizard Champion?",SPEW Treasurer,MCQ,FALSE,FALSE
"Which of the following was NOT a breed of dragon faced by the Triwizard Tournament champions: Hungarian Horntail, Chinese Fireball, Swedish Short-Snout, or Norwegian Ridgeback?",Norwegian Ridgeback,MCQ,FALSE,FALSE
"Which of these creatures' blood will keep a human alive, albeit at a terrible price: Phoenix, Dragon, Unicorn, or Thestral?""",Unicorn,MCQ,FALSE,FALSE
"Which of the following is NOT a type of Dark Magic: the Cruciatus Curse, the Imperius Curse, the Killing Curse, or the Stunning Spell?",Stunning Spell,MCQ,FALSE,FALSE
"In which of these scenarios would you use the Impediment Jinx: to slow a rushing opponent, to block a spell, to create a magical barrier, or to make an object invisible?",To slow a rushing opponent.,MCQ,FALSE,FALSE
"Which of these spells is not a cleaning spell: Scourgify, Tergeo, Confrigo, or Reparo?",Confrigo,MCQ,FALSE,FALSE
"Which of these spells is a severing charm: Diffindo, Incendio, Reducto, or Aguamenti?",Diffindo,MCQ,FALSE,FALSE
