,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,factual_recall_keyword,is_duplicate,question_type,is_numeric_answer
6,6,Which of these is an ingredient in Befuddlement Draughts?,Sneezewort,"['which', 'be', 'ingredient', 'befuddlement', 'draught']",['sneezewort'],"['which', 'be', 'ingredient', 'befuddlement', 'draught', 'sneezewort']",['which'],False,MCQ,False
78,80,Which of these charms is the dancing-feet jinx?,Tarantallegra,"['which', 'charm', 'be', 'dancingfeet', 'jinx']",['tarantallegra'],"['which', 'charm', 'be', 'dancingfeet', 'jinx', 'tarantallegra']",['which'],False,MCQ,False
85,87,Which of the following is caused by space weather?,Auroras.,"['which', 'follow', 'be', 'cause', 'space', 'weather']",['aurora'],"['which', 'follow', 'be', 'cause', 'space', 'weather', 'aurora']",['which'],False,MCQ,False
100,105,Which of the following was a reason why the 14th century witch burnings were pointless?,Flame-Freezing Charm,"['which', 'follow', 'be', 'reason', 'why', 'th', 'century', 'witch', 'burning', 'pointless']","['flamefreezing', 'charm']","['which', 'follow', 'be', 'reason', 'why', 'th', 'century', 'witch', 'burning', 'pointless', 'flamefreezing', 'charm']",['which'],False,MCQ,False
152,159,Which of the following traits does the Occamy exhibit?,Choranaptyxis,"['which', 'follow', 'trait', 'do', 'occamy', 'exhibit']",['choranaptyxis'],"['which', 'follow', 'trait', 'do', 'occamy', 'exhibit', 'choranaptyxis']",['which'],False,MCQ,False
157,164,Which of these plants bloom instantly?,Puffapod,"['which', 'plant', 'bloom', 'instantly']",['puffapod'],"['which', 'plant', 'bloom', 'instantly', 'puffapod']",['which'],False,MCQ,False
159,167,Which of the following is not a Horcrux?,Elder Wand,"['which', 'follow', 'be', 'horcrux']","['elder', 'wand']","['which', 'follow', 'be', 'horcrux', 'elder', 'wand']",['which'],False,MCQ,False
193,201,Which of these is needed for successful broom casting?,Balance,"['which', 'be', 'need', 'successful', 'broom', 'casting']",['balance'],"['which', 'be', 'need', 'successful', 'broom', 'casting', 'balance']",['which'],False,MCQ,False
207,217,Which of the following could very well be a Chameleon Ghoul?,Coat Rack,"['which', 'follow', 'could', 'well', 'chameleon', 'ghoul']","['coat', 'rack']","['which', 'follow', 'could', 'well', 'chameleon', 'ghoul', 'coat', 'rack']",['which'],False,MCQ,False
208,218,Which of the following is NOT a type of Transfiguration?,Summoning,"['which', 'follow', 'be', 'type', 'transfiguration']",['summon'],"['which', 'follow', 'be', 'type', 'transfiguration', 'summon']",['which'],False,MCQ,False
209,220,Which of these is an ancient predecessor to Quidditch?,Creaothceann.,"['which', 'be', 'ancient', 'predecessor', 'quidditch']",['creaothceann'],"['which', 'be', 'ancient', 'predecessor', 'quidditch', 'creaothceann']",['which'],False,MCQ,False
218,229,Which of the following is another dive commonly used by Seekers?,Spiral Dive,"['which', 'follow', 'be', 'another', 'dive', 'commonly', 'use', 'seeker']","['spiral', 'dive']","['which', 'follow', 'be', 'another', 'dive', 'commonly', 'use', 'seeker', 'spiral']",['which'],False,MCQ,False
264,279,Screechsnaps are capable of doing which of the following?,Move & Make Noise,"['screechsnaps', 'be', 'capable', 'which', 'follow']","['move', 'make', 'noise']","['screechsnaps', 'be', 'capable', 'which', 'follow', 'move', 'make', 'noise']",['which'],False,MCQ,False
269,284,Which of these titles or identities has not been held by Harry Potter?,SPEW Treasurer,"['which', 'title', 'identity', 'have', 'hold', 'harry', 'potter']","['spew', 'treasurer']","['which', 'title', 'identity', 'have', 'hold', 'harry', 'potter', 'spew', 'treasurer']",['which'],False,MCQ,False
301,317,Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions?,Norwegian Ridgeback,"['which', 'follow', 'be', 'breed', 'dragon', 'face', 'triwizard', 'tournament', 'champion']","['norwegian', 'ridgeback']","['which', 'follow', 'be', 'breed', 'dragon', 'face', 'triwizard', 'tournament', 'champion', 'norwegian', 'ridgeback']",['which'],False,MCQ,False
312,328,Which of these creatures' blood will keep a human alive?,Unicorn,"['which', 'creatures', 'blood', 'will', 'keep', 'human', 'alive']",['unicorn'],"['which', 'creatures', 'blood', 'will', 'keep', 'human', 'alive', 'unicorn']",['which'],False,MCQ,False
359,378,Which of the following is NOT a type of Dark Magic?,Charm,"['which', 'follow', 'be', 'type', 'dark', 'magic']",['charm'],"['which', 'follow', 'be', 'type', 'dark', 'magic', 'charm']",['which'],False,MCQ,False
390,411,In which of these scenarios would you use the impediment jinx?,To slow a rushing opponent.,"['which', 'scenario', 'would', 'use', 'impediment', 'jinx']","['slow', 'rushing', 'opponent']","['which', 'scenario', 'would', 'use', 'impediment', 'jinx', 'slow', 'rushing', 'opponent']",['which'],False,MCQ,False
399,421,Which of these is not a cleaning spell?,Confrigo,"['which', 'be', 'clean', 'spell']",['confrigo'],"['which', 'be', 'clean', 'spell', 'confrigo']",['which'],False,MCQ,False
433,458,Which of these spells is a severing charm?,Diffindo,"['which', 'spell', 'be', 'sever', 'charm']",['diffindo'],"['which', 'spell', 'be', 'sever', 'charm', 'diffindo']",['which'],False,MCQ,False
448,474,Which of these spells keeps a charm stable?,Fianto Duri,"['which', 'spell', 'keep', 'charm', 'stable']","['fianto', 'duri']","['which', 'spell', 'keep', 'charm', 'stable', 'fianto', 'duri']",['which'],False,MCQ,False
455,481,"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,"['accord', 'madam', 'hooch', 'which', 'follow', 'increase', 'chance', 'fall', 'death', 'maybe', 'should', 'take', 'suggestion']","['long', 'hair']","['accord', 'madam', 'hooch', 'which', 'follow', 'increase', 'chance', 'fall', 'death', 'maybe', 'should', 'take', 'suggestion', 'long', 'hair']",['which'],False,MCQ,False
462,488,Which of these spells can summon an object?,Accio,"['which', 'spell', 'can', 'summon', 'object']",['accio'],"['which', 'spell', 'can', 'summon', 'object', 'accio']",['which'],False,MCQ,False
500,529,Which one of the following is not a founder of Hogwarts?,Helena Ravenclaw,"['which', 'one', 'following', 'be', 'founder', 'hogwarts']","['helena', 'ravenclaw']","['which', 'one', 'following', 'be', 'founder', 'hogwarts', 'helena', 'ravenclaw']",['which'],False,MCQ,False
523,553,Which of these books covers ancient runes?,Spellman's Syllabery,"['which', 'book', 'cover', 'ancient', 'rune']","['spellmans', 'syllabery']","['which', 'book', 'cover', 'ancient', 'rune', 'spellmans', 'syllabery']",['which'],False,MCQ,False
530,560,An intended transformation is directly influenced by which of the following?,Concentration,"['intend', 'transformation', 'be', 'directly', 'influence', 'which', 'follow']",['concentration'],"['intend', 'transformation', 'be', 'directly', 'influence', 'which', 'follow', 'concentration']",['which'],False,MCQ,False
