Output token estimate per API call,EX,FR,MCQ,,,
JSON field (approx. token count) ,,,,,,
- number of questions to generate,5,5,3,,,
- question type,10,10,10,,,
- category,10,10,10,,,
- difficulty,3,3,3,,,
- question,25,15,20,,,
- answer,35,5,5,,,
- answer_variations / options for MCQ,130,40,70,,,
- source reference,5,5,5,,,
- source quote,40,25,25,,,
- overhead (keys etc),50,50,50,,,
Total number of token per API call,1540,815,594,,,
Cost estimate parameters,,,,,,
Number of question_types,3,,,,,
Total number of chapters,96,,,,,
Number of chapters per API call,2,,,,,
Total number of API calls,144,,,,,
Average word count per chapter,5300,,,,,
Average tokens per chapter,7049,,,,,
Chapter tokens per API call,14098,,,,,
~ Tokens in prompt (cached input),800,,,,,
Safety margin,1.2,,,,,
Input Context (uncached) / 1M tokens,2.030,,,,,
Input Prompt (cached) / 1M tokens,0.115,,,,,
Output / 1M tokens,0.142,,,,,
USD to CAD conversion rate,1.4,,,,,
Cost estimate per model,"Model Cost:
 Input (uncached) per 1M tokens","Model Cost:
Input (cached) per 1M tokens",Model cost: Output per 1M tokens,Estimated total cost of all API calls (USD),Estimated total cost of all API calls (CAD),
Open AI,$1.25,$0.13,$10.00,$4.76,$6.67,
Gemini,$2.50,$0.63,$15.00,$8.72,$12.21,
DeepSeek,$0.55,$0.14,$2.19,$1.73,$2.42,
"Hybrid 1 (Gem Ex + GPT FR,MCQ)",$1.66,$0.29,$11.62,$6.05,$8.48,
"Hybrid 2  (Gem Ex + DeepSeek FR,MCQ)",$1.19,$0.30,$6.41,$4.03,$5.65,
"Hybrid 3 (GPT Ex + DeepSeek FR,MCQ)",$0.78,$0.13,$4.76,$2.73,$3.82,
